Post_ID,User_ID,Secret,Server,Title,Is_Public,Is_Friend,Is_Family,Farm,City,Country,Post_Date,Taken_Date,Tags,Latitude,Longitude,Description,Min_Taken_Date
52387612766,128026872@N03,fc48008577,65535,surf's up,1,0,0,66,NaN,NaN,2022-09-27 07:44:37,2022-09-26 22:58:50,"2022,crazytuesday,sand,bluewater,bluesky,sea,surf,waves,clouds,nikon,nikonw300,coolpix,bundaberg,queensland,australia,sound,",-24.949581,152.485449,"crazy tuesday
sound

calm day at coonarr beach,
bundaberg australia",2022-09-26 00:00:00
53186315081,81999118@N05,b49ca5d0eb,65535,lark bar,1,0,0,66,seaford,australia,2023-09-14 06:27:20,2023-08-25 16:43:01,NaN,-42.881573,147.330519,NaN,2023-08-25 00:00:00
42379659471,60988113@N06,f5b501bcca,1744,wonderful smile,1,0,0,2,brisbane,australia,2018-05-27 06:41:50,2018-05-27 13:39:38,"portrait,wig,fun,dayboro,day,2018,smile,pretty,",-27.19088,152.825767,dayboro day,2018-05-27 00:00:00
51010362338,14220155@N03,14a958c394,65535,20210306-14-farewell function,1,0,0,66,hobart,australia,2021-03-07 03:38:58,2021-03-06 19:41:17,"2021,australia,barwaizakaya,hobart,rogertwong,sel24105g,sony24105,sonya7iii,sonyalpha7iii,sonyfe24105mmf4goss,sonyilce7m3,tasmania,people,",-42.87849,147.320638,NaN,2021-03-06 00:00:00
28616413037,165777008@N08,7d11673d86,1789,NaN,1,0,0,2,melbourne ,australia,2018-07-19 07:10:22,2018-07-19 17:10:03,"mpc,moonee,ponds,creek,",-37.735346,144.929924,moonee ponds creek kelvin thompson reserve,2018-07-19 00:00:00
46797406641,87791108@N00,46cd1dbeb3,7831,20190110_9047 sunrise at harrington,1,0,0,8,melbourne,australia,2019-01-19 07:25:25,2019-01-11 02:48:30,NaN,-31.872158,152.688406,"harrington is a small village located at the mouth of the manning river in new south wales, australia. 
it was established in 1853 and proclaimed a village on 26 september 1896. it is 15 km north-east of taree on the mid north coast, and 335 kilometres north east of the state capital, sydney. - wikipedia",2019-01-10 00:00:00
46160526811,127449591@N07,f19ff6643f,4835,dscn1441,1,0,0,5,brisbane,australia,2018-12-03 13:36:31,2018-11-26 10:44:11,"uranganpier,queensland,qld,australia,beach,pier,loxpix,loxwerx,ocean,waves,boats,boat,windsurfing,kitesurfer,birds,statue,historical,herveybay,windy,l0xpix,",-25.279967,152.895041,          ,2018-11-26 00:00:00
47442776692,32519037@N05,f05c550db6,7879,after hours cruise,1,0,0,8,one mile beach nsw,australia,2019-03-29 23:21:35,2019-03-29 18:22:44,"tomaree,business,chamber,networking,cruise,moonshadowtqc,portstephens,nelsonbay,nsw,australia,",-32.705555,152.121849,"yes, we have a good time.",2019-03-29 00:00:00
25578052727,63364892@N00,8dd212086c,4707,darling harbour,1,0,0,5,sydney,australia,2018-02-24 03:33:51,2018-02-24 11:13:33,"cny,",-33.875626,151.201655,dragon boat races and chinese new year,2018-02-24 00:00:00
47934652327,27234856@N02,9cfafedc53,65535,meow meow,1,0,0,66,NaN,NaN,2019-05-26 09:27:31,2019-05-21 14:40:48,NaN,-23.71677,133.865672,NaN,2019-05-21 00:00:00
